,Date,Close_btc,Open_btc,High_btc,Low_btc,Volume_btc,Open_gbtc,High_gbtc,Low_gbtc,Close_gbtc,Volume_gbtc,value,Out,WTI,brent,gold,silver,litecoin,Ethereum,AUDUSD CURNCY,CADUSD CURNCY,CNYUSD CURNCY,EURUSD CURNCY,GBPUSD CURNCY,JPYUSD CURNCY,Premium,hashrate,Return_btc,Return_gbtc,ratio_return,Mom5d_gbtc,Mom30d_gbtc,Mom90d_gbtc,Mom180d_gbtc,ratio_Mom5d,ratio_Mom30d,ratio_Mom90d,ratio_Mom180d
161,2018/10/3,6431.69,6422.48,6600,6396.39,2391.844157,7.35,7.5,7.16,7.36,1370000,36,201.524,64.96,86.29,1315.8,16.108,56.875,217.113,0.7103,0.7772,0.14558,1.1478,1.294,0.008731,-0.998855666,54911962.63,-0.015169609,-0.005420067,0.357297768,-0.087124595,-0.186614864,-0.507014021,-0.739001537,10.2318348,19.57772011,3.04985023,2.537355134
162,2018/10/4,6568.69,6553.59,6590,6503.31,1688.267681,7.28,7.5,7.2,7.46,1034600,29,201.524,63.89,84.58,1315,16.034,58.444,222.095,0.7076,0.7737,0.14558,1.1514,1.3021,0.008777,-0.998864309,54911962.63,0.021077087,0.013495481,0.640291579,-0.079836458,-0.160640491,-0.495153863,-0.739001537,5.974206886,-8.885344651,3.485665544,2.537355134
163,2018/10/5,6531.82,6538.83,6638,6520,1177.025835,7.5,7.5,7.2,7.3,996200,37,201.524,64.29,84.16,1321.5,16.151,57.965,222.193,0.7052,0.7727,0.14558,1.1524,1.312,0.008794,-0.998882394,53364744.23,-0.005628803,-0.021681066,3.851807334,-0.084038927,-0.194800448,-0.509454822,-0.739001537,4.121602755,-11.86324188,3.974217745,2.537355134
164,2018/10/8,6624,6557.02,6655,6538.14,2084.521552,7.3,7.91,7.3,7.88,1449000,26,201.531,64.33,83.91,1304.2,15.824,59.4,229.395,0.7078,0.7717,0.14429,1.1492,1.309,0.008831,-0.998810386,53364744.23,0.014013799,0.076453556,5.455591002,0.019219041,-0.125088491,-0.433001266,-0.739001537,1.779899885,-4.24328174,3.591115589,2.537355134
165,2018/10/9,6576.79,6606.13,6611.66,6521.7,2148.300494,7.82,7.9,7.51,7.725,852200,31,203.645,64.92,85,1307.1,15.901,58.21,226.668,0.7103,0.7723,0.14445,1.1491,1.3143,0.008853,-0.998825415,53364744.23,-0.007152633,-0.019866081,2.777450185,0.042981823,-0.189844429,-0.437105926,-0.739001537,6.019997105,7.893698119,4.138374387,2.537355134
166,2018/10/10,6538.71,6539.16,6557.18,6026.09,5005.494338,7.65,7.65,7.25,7.31,1375200,28,203.648,63.44,83.09,1309,15.838,57.475,225.013,0.7055,0.7652,0.14442,1.152,1.3196,0.008907,-0.998882042,53364744.23,-0.005806886,-0.055218549,9.509149746,-0.006816659,-0.299242895,-0.518728649,-0.739001537,-0.413066656,3.726072319,3.668395423,2.537355134
167,2018/10/11,6195.79,6226.22,6250,6102.05,3275.287967,6.99,6.99,6.75,6.78,2474200,19,203.648,61.89,80.26,1343.6,16.143,51.92,199.27,0.7124,0.7673,0.14514,1.1593,1.323,0.008916,-0.998905709,50029447.71,-0.053869869,-0.075266172,1.397184975,-0.095578312,-0.336261511,-0.579228351,-0.739001537,1.635371821,2.781397368,3.171551824,2.537355134
168,2018/10/12,6203.71,6192.15,6192.15,6192.15,0,6.865,6.99,6.78,6.85,1168800,13,203.648,61.6,80.43,1337.6,16.162,52.97,196.615,0.7114,0.7677,0.14446,1.156,1.3153,0.008913,-0.998895822,50029447.71,0.001277471,0.01027155,8.040534779,-0.063625696,-0.287317042,-0.55898994,-0.739001537,1.234536659,3.085164166,2.945842837,2.537355134
169,2018/10/15,6379.03,6215.68,6769,6206,8948.73051,7.08,7.45,7.01,7.25,2345300,20,203.648,61.16,80.78,1346.7,16.257,53.33,204.718,0.713,0.7699,0.14457,1.1579,1.3152,0.008947,-0.998863464,50029447.71,0.027868548,0.056752817,2.036446843,-0.083326435,-0.27029033,-0.539111437,-0.739001537,2.211225732,2.738501886,3.039780366,2.537355134
170,2018/10/16,6430.65,6423.27,6489.99,6390.1,2978.589591,7.3,7.49,7.19,7.28,814700,24,203.648,61.43,81.41,1347.1,16.229,52.915,207.173,0.7141,0.7731,0.14468,1.1574,1.3181,0.008909,-0.998867922,50029447.71,0.008059574,0.004129393,0.512358785,-0.059330961,-0.266160936,-0.536589761,-0.739001537,2.640315577,2.00749921,3.393741872,2.537355134
171,2018/10/17,6434.22,6444.08,6487.77,6406.98,1998.462064,7.2,7.25,7.07,7.21,525700,23,203.673,60.69,80.05,1343.2,16.195,52.625,206.163,0.7109,0.7679,0.14435,1.1501,1.3115,0.008877,-0.998879429,50702736.58,0.000555,-0.009661911,-17.40885499,-0.013774322,-0.204948508,-0.578652768,-0.739001537,0.855055301,2.875622872,3.263859346,2.537355134
172,2018/10/18,6397.68,6459.26,6459.64,6350.92,4597.20033,7.2,7.27,6.95,6.98,785700,26,203.673,60.36,79.29,1346.4,16.133,51.445,202.128,0.7099,0.7642,0.14414,1.1453,1.3018,0.008914,-0.99890898,50702736.58,-0.005695197,-0.032420035,5.69252212,0.029071815,-0.206384997,-0.598553077,-0.739001537,0.906641392,28.86963089,3.349933611,2.537355134
173,2018/10/19,6380.15,6383.39,6383.39,6383.39,0,6.97,7.19,6.95,7.05,711500,24,203.673,61.02,79.78,1345.1,16.184,52.745,204.458,0.7119,0.763,0.14431,1.1514,1.3076,0.008886,-0.99889501,50702736.58,-0.002743817,0.0099787,-3.636795575,0.028778965,-0.1680356,-0.506561225,-0.739001537,1.026203604,26.91978347,8.926526374,2.537355134
174,2018/10/22,6397.07,6408.7,6426.24,6371.09,2982.270784,7.07,7.25,6.97,7.18,834300,27,203.673,62.06,79.83,1341.1,16.121,51.94,206.385,0.7081,0.7633,0.14394,1.1464,1.2963,0.008864,-0.998877611,55344536.41,0.002648465,0.018271766,6.899002379,-0.009702086,-0.136486632,-0.452617995,-0.739001537,-3.435552552,-8.086178851,27.05259351,2.537355134
175,2018/10/23,6400,6392.27,6417.62,6350.1,3563.055948,7.19,7.42,7.02,7.22,1304200,24,203.752,60.57,76.44,1353.3,16.334,52.005,205.598,0.7086,0.7643,0.14413,1.1471,1.2983,0.008893,-0.998871875,48917428.96,0.000457917,0.00555557,12.13225511,-0.008275909,-0.119935227,-0.383999048,-0.739001537,1.732220126,-5.551641688,-20.28734402,2.537355134
176,2018/10/24,6423.51,6413.41,6465.68,6358.82,3634.076277,7.345,7.55,7.09,7.19,1135400,23,203.752,60.61,76.17,1345.5,16.212,52.577,204.49,0.706,0.7659,0.14401,1.1392,1.2881,0.008908,-0.998880674,48917428.96,0.003666707,-0.004163781,-1.135564221,-0.00277778,-0.136309172,-0.472261163,-0.739001537,1.667410428,-7.000761423,13.90015817,2.537355134
177,2018/10/25,6408.7,6390.51,6419.07,6379.03,2727.862817,7.14,7.17,7.02,7.04,823000,25,203.752,60.82,76.89,1346.7,16.167,51.755,199.933,0.708,0.7651,0.14391,1.1375,1.2817,0.008896,-0.998901493,48917428.96,-0.002308255,-0.021083002,9.133740154,0.008559253,-0.210564769,-0.441731286,-0.739001537,4.973367715,37.64194183,20.46843181,2.537355134
178,2018/10/26,6403.91,6388.46,6450,6375,2764.668936,7.005,7.15,6.91,6.97,1001200,29,204.067,61.59,77.62,1348.4,16.236,51.688,200.67,0.709,0.7632,0.14402,1.1403,1.2828,0.008938,-0.998911602,58201028.61,-0.000747701,-0.009992945,13.36489626,-0.011412392,-0.204316058,-0.460815203,-0.739001537,-3.070213315,11.38232182,10.05456946,2.537355134
179,2018/10/29,6252.2,6405.45,6405.99,6200,3589.03345,6.855,6.88,6.5,6.83,1939700,34,204.067,61.84,77.34,1339.8,15.981,48.593,193.265,0.7055,0.7614,0.14364,1.1373,1.2793,0.008898,-0.998907585,58201028.61,-0.02397534,-0.020290551,0.846309233,-0.049974709,-0.16310441,-0.476570599,-0.739001537,2.181666161,87.6146934,6.269318302,2.537355134
180,2018/10/30,6255.15,6270.64,6287.56,6238.94,3298.272732,6.845,6.85,6.55,6.66,1172100,31,204.067,60.77,75.91,1337.6,15.998,48.595,194.668,0.7105,0.7626,0.14353,1.1345,1.2706,0.008843,-0.998935277,58201028.61,0.000471723,-0.025205189,-53.43222291,-0.080735468,-0.195744577,-0.492643305,-0.739001537,3.526664972,25.19843626,6.391517121,2.537355134
181,2018/10/31,6300,6264.54,6346.94,6200,3390.120298,6.64,6.75,6.36,6.74,1249800,32,204.067,60.37,75.47,1326.9,15.82,49.722,196.44,0.7073,0.76,0.14335,1.1312,1.2766,0.008853,-0.998930159,58201028.61,0.007144509,0.01194044,1.671275164,-0.064631247,-0.192408984,-0.462183817,-0.75499291,3.328922698,11.52832959,7.194546157,2.361620074
182,2018/11/1,6321,6293.93,6380,6281.91,2422.645852,6.625,6.65,6.48,6.64,851800,29,204.067,58.85,72.89,1350.9,16.324,50.117,197.243,0.7206,0.7642,0.14444,1.1408,1.3012,0.008872,-0.998949533,45713754.47,0.00332779,-0.014947961,-4.491858266,-0.058496207,-0.197516768,-0.41942346,-0.806233797,4.245310039,12.67154802,-21.09786938,2.445779657
183,2018/11/2,6344.87,6356.05,6369.99,6330,1661.753776,6.785,6.98,6.7,6.93,1037000,36,204.067,58.9,72.83,1346,16.306,51.205,200.048,0.7193,0.7629,0.14512,1.1388,1.297,0.008834,-0.998907779,45713754.47,0.003769189,0.04274785,11.34139225,-0.005755412,-0.244557646,-0.346522572,-0.730673708,0.621391865,3.993276926,-25.78126352,2.390117511
184,2018/11/5,6382.11,6407.91,6421,6368.49,3278.084728,6.845,7.24,6.84,7.165,1275500,42,204.067,59.29,73.17,1345.1,16.2,53.188,206.825,0.7211,0.7627,0.14439,1.1407,1.3041,0.008835,-0.998877331,45713754.47,0.005852151,0.033348248,5.698459654,0.047883388,-0.149454194,-0.253250987,-0.830509389,2.328351331,4.106030914,-7.907475203,2.242731929
185,2018/11/6,6410.22,6385.95,6540,6384.75,4372.11241,7.22,7.68,7.18,7.49,1493800,42,204.074,59.69,72.13,1339.1,16.058,54.905,215.938,0.7247,0.762,0.14452,1.1427,1.3099,0.008815,-0.998831553,45356615.77,0.004394828,0.044360736,10.0938503,0.117449313,-0.072103294,-0.128847543,-0.911740958,4.79610715,-8.527877106,-2.908678873,1.990715583
186,2018/11/7,6507.34,6508.33,6521.99,6440,3168.248827,7.775,7.79,7.625,7.72,1355400,48,204.074,62.01,72.07,1341.5,16.136,53.992,217.058,0.7276,0.7626,0.14451,1.1426,1.3126,0.00881,-0.998813647,45356615.77,0.015037179,0.030245567,2.0113857,0.135754439,-0.039370164,-0.146721225,-0.833134374,4.192392577,-12.38684408,-2.169467432,1.920440531
187,2018/11/8,6420.96,6442.9,6486.53,6390.01,3066.50997,7.66,7.7,7.25,7.44,980700,51,204.08,61.39,70.65,1338,15.993,52.895,212.53,0.7256,0.7602,0.14421,1.1363,1.3062,0.008768,-0.998841295,45356615.77,-0.013363131,-0.036943515,2.764585206,0.113758885,-0.082521024,-0.136718513,-0.9883613,7.250307276,2.285248503,-1.55288731,1.65402101
188,2018/11/9,6345,6398.85,6408.89,6312,1184.152532,7.295,7.34,6.86,7.06,1101200,47,204.128,60.73,70.18,1320.4,15.713,51.317,207.753,0.7226,0.7571,0.14374,1.1336,1.2972,0.008788,-0.998887313,45356615.77,-0.011900538,-0.052425797,4.405329998,0.018585238,-0.117468224,-0.367942669,-0.92811858,907.0932999,2.377495827,8.671802549,1.867373394
189,2018/11/12,6333.15,6357.1,6368.3,6250,1180.000228,7.235,7.28,6.9,6.91,728400,52,204.445,60.53,70.12,1314.7,15.588,50.115,207.913,0.7173,0.7547,0.1436,1.1218,1.2849,0.008784,-0.998908916,45356615.77,-0.001869358,-0.021475414,11.48811971,-0.036238424,-0.112139225,-0.370614956,-0.895526716,4.705664824,3.288168797,9.094044322,1.949826952
190,2018/11/13,6272.33,6295.74,6311.13,6239.48,1718.703045,6.905,6.99,6.67,6.87,772600,56,204.445,58.12,65.47,1312.2,15.554,48.9,203.598,0.7218,0.7556,0.14376,1.129,1.2977,0.008787,-0.998904713,45356615.77,-0.009649846,-0.005805532,0.601619072,-0.086404691,-0.074315894,-0.380408528,-0.918326446,3.9734159,1.845942709,9.842838254,1.948141395
191,2018/11/14,5510,6264,6297.66,5290,14483.07564,6.655,6.8,5.92,5.98,4348700,49,204.445,58.56,66.12,1320.7,15.657,42.09,176.115,0.7232,0.7551,0.14387,1.131,1.2992,0.008801,-0.998914701,45356615.77,-0.129583273,-0.138743538,1.07069018,-0.255393796,-0.207639365,-0.536904012,-1.091900854,1.535130795,1.34244343,3.034443853,1.765496715
192,2018/11/15,5535.88,5562.01,5608.35,5200,6774.782499,5.87,6.35,5.4,6.25,3249000,28,204.445,57.36,66.62,1325.1,15.847,42.817,175.235,0.7277,0.7589,0.14411,1.1328,1.2774,0.0088,-0.998871002,33682110.95,0.004685919,0.044160896,9.424170459,-0.174289385,-0.17697395,-0.499562431,-1.066639909,1.175113241,1.034548911,2.603166357,1.625515759
193,2018/12/10,3374.08,3534,3540.33,3357.56,5034.46767,3.985,4.15,3.91,4.03,1572900,19,205.682,51.86,59.97,1349.1,15.929,24.235,89.058,0.719,0.7464,0.14466,1.1356,1.2561,0.008823,-0.9988056,33682110.95,-0.495127847,-0.438815088,0.886266224,-0.560678676,-0.594107972,-0.833017004,-1.487116056,0.887789789,0.899396486,1.308150497,1.30257418
194,2018/12/11,3333.08,3385.34,3426.68,3295.01,3742.913444,4.195,4.2,3.94,3.95,922100,15,205.682,52.08,60.2,1347.2,15.952,23.48,87.91,0.7206,0.7468,0.14494,1.1317,1.2487,0.00882,-0.99881491,33682110.95,-0.012225893,-0.020050797,1.64002718,-0.559254059,-0.690612325,-0.861660764,-1.522196359,0.871246672,1.005547022,1.336184461,1.284700172
195,2018/12/12,3436.03,3338.13,3486,3330.08,5289.243811,4.015,4.39,3.97,4.05,1827900,14,205.682,52.29,60.15,1350.1,16.171,24.445,89.898,0.722,0.749,0.14535,1.1369,1.2629,0.008827,-0.998821314,41821954.43,0.030419934,0.025001302,0.821872343,-0.528447225,-0.645744942,-0.83237221,-1.491654877,0.878065576,0.994631937,1.419141612,1.292095782
196,2018/12/13,3317.62,3387.85,3413,3202.43,6063.126192,4.055,4.14,3.82,3.885,1413500,14,205.688,53.13,61.45,1347.5,16.172,22.895,84.34,0.7227,0.7488,0.14531,1.1361,1.2643,0.008803,-0.99882898,41821954.43,-0.035069077,-0.041593897,1.186056239,-0.431297584,-0.63212029,-0.866418902,-1.566576141,0.850154073,0.931654414,1.394445677,1.249251521
197,2018/12/14,3178.98,3250.01,3280.59,3136.46,5027.500968,3.92,3.94,3.76,3.84,1614900,10,206.015,52.41,60.28,1341.3,15.951,22.62,81.79,0.7172,0.7472,0.14477,1.1306,1.2583,0.00882,-0.998792065,41821954.43,-0.042687268,-0.011650617,0.27292956,-0.487109097,-0.568504735,-0.986671529,-1.497108727,0.878164316,0.851935447,1.330709619,1.233120551
198,2018/12/17,3526.64,3202.08,3584.99,3195.45,8411.984593,3.99,4.43,3.96,4.35,3792800,17,206.171,52.46,59.61,1351.7,16.074,28.91,93.915,0.7179,0.7459,0.14499,1.1348,1.2624,0.008863,-0.998766531,35766529.43,0.103785186,0.124703479,1.201553745,0.076409469,-0.454072807,-0.971301247,-1.286029398,1.72782655,0.803950532,1.33360834,1.253056003
199,2018/12/18,3535.31,3532.09,3776.6,3432.38,8002.202016,4.495,4.5,3.91,4.15,2328000,23,206.321,50.32,56.26,1352.8,16.002,28.515,93.853,0.7181,0.7425,0.14503,1.1361,1.2639,0.008887,-0.998826128,35537832.46,0.002455414,-0.047067511,-19.16887205,0.049392755,-0.557893135,-0.959211727,-1.333096909,0.838527048,0.94523704,1.302126957,1.366936074
200,2018/12/19,3770.53,3749.03,3922.6,3650.79,9680.439473,4.56,4.73,4.21,4.31,4361300,21,206.559,51.39,57.24,1355.6,16.119,28.705,98.903,0.7109,0.7418,0.14511,1.1376,1.261,0.00889,-0.998856925,35537832.46,0.064414585,0.03782957,0.587282675,0.062221023,-0.524192958,-0.932401552,-1.246445408,0.669771797,0.981892092,1.368068493,1.472087052
201,2018/12/20,4050.23,3720.33,4200,3677,12980.08034,4.69,4.84,4.52,4.63,3620700,27,206.559,50.4,54.35,1367.4,16.17,32.045,114.195,0.7108,0.7404,0.14524,1.1446,1.2656,0.008986,-0.998856855,35537832.46,0.071558094,0.071618964,1.00085063,0.175433884,-0.442912083,-0.865338405,-1.186103512,0.879253202,0.956909216,1.455083815,1.501418639
202,2018/12/21,3810,4042.87,4091.38,3773.13,8097.762914,4.69,4.77,4.25,4.32,2709500,35,206.559,50.3,53.82,1356,15.983,30.185,108.023,0.704,0.7351,0.14479,1.1372,1.2645,0.00899,-0.998866142,44168448.91,-0.06114448,-0.069301466,1.133405097,0.117783036,-0.479793515,-0.98602407,-1.231371779,0.650487752,0.925695046,1.38738667,1.423070039
203,2018/12/24,4030,4175,4238.33,3725,6513.644981,4.595,4.84,4.59,4.79,2263700,25,206.559,48.74,50.47,1369.9,16.097,34.045,142.23,0.7049,0.7354,0.14495,1.1406,1.2706,0.009054,-0.998811414,44168448.91,0.056137187,0.103275009,1.839689785,0.096354566,-0.386497205,-0.939811519,-1.021609493,0.722185496,0.84126247,1.309767412,1.42340963
204,2018/12/26,3811.4,3834.03,3842.27,3688.04,3785.22805,4.445,4.48,4.22,4.25,3018000,26,206.559,51.51,54.47,1371.2,16.407,30.025,128.398,0.7066,0.7368,0.14523,1.1353,1.2633,0.00898,-0.998884924,44168448.91,-0.0557698,-0.119611428,2.144734748,0.023810649,-0.5243804,-1.027937331,-1.152803341,0.316649554,1.012623317,1.350332454,1.499970806
205,2018/12/27,3604.87,3738.44,3775.99,3567.86,5975.492571,4.17,4.17,3.84,4.04,4424900,29,206.559,49.99,52.16,1379.4,16.59,27.82,115.475,0.7033,0.7343,0.14564,1.143,1.2644,0.009011,-0.998879294,45526212.08,-0.055710867,-0.050674291,0.909594376,-0.064693212,-0.580610261,-1.096960761,-1.25910772,1.439871021,1.011494492,1.325916815,1.459351878
206,2018/12/28,3874.84,3598.01,3965.23,3576.04,5332.249523,3.975,4.33,3.925,4.17,4033200,21,206.559,49.81,52.2,1381.2,16.713,32.095,134.598,0.7047,0.7332,0.14539,1.1444,1.2699,0.009069,-0.998923827,45526212.08,0.072218663,0.031671344,0.438547914,-0.104640832,-0.544775136,-1.052815243,-1.182153757,2.363733717,1.07778021,1.400189911,1.52618337
207,2018/12/31,3686.43,3784.93,3820.5,3577.18,4510.77014,4.14,4.15,3.95,3.965,3829000,26,206.559,50.89,53.8,1380,16.816,29.51,130.04,0.7049,0.7332,0.14538,1.1467,1.2754,0.009123,-0.998924434,45526212.08,-0.049845862,-0.050410181,1.011321284,-0.085749547,-0.574102315,-1.030339749,-1.303515674,2.600781955,1.038163584,1.304300032,1.469847318
208,2019/1/2,3846.01,3796.26,3911.99,3763.85,4161.197258,4.155,4.65,4.13,4.62,2948200,30,206.559,51.82,54.91,1380.2,16.928,33.02,154.55,0.6985,0.7362,0.14573,1.1344,1.2607,0.009185,-0.998798755,45526212.08,0.042377737,0.15288885,3.607763418,-0.036135706,-0.41122052,-0.813332331,-1.160848378,0.773284974,0.806516383,1.1628115,1.386754148
209,2019/1/3,3781.61,3871.75,3878.72,3755,3564.030756,4.325,4.62,4.32,4.52,1503000,33,206.559,52.27,55.95,1390.5,17.076,31.44,147.973,0.7006,0.7414,0.14552,1.1394,1.2628,0.009289,-0.998804742,45526212.08,-0.016886402,-0.021882711,1.295877638,0.061593011,-0.41281268,-0.80402343,-1.136953332,-7.849512389,0.821054456,1.160230642,1.38253615
210,2019/1/4,3765.28,3796.54,3857,3732.15,2113.174757,4.585,4.65,4.41,4.53,2020700,48,206.559,52.75,57.06,1381.7,17.064,32.775,154.14,0.7113,0.7477,0.14559,1.1395,1.2723,0.009214,-0.998796902,45526212.08,-0.004327617,0.002209946,-0.510661075,0.114477248,-0.385397545,-0.82626458,-1.108132683,2.629453414,0.759280006,1.189715454,1.342257848
211,2019/1/7,4025.02,4034.17,4050,3950,3911.822363,4.74,4.94,4.74,4.86,2676600,39,206.559,52.81,57.33,1386.7,17.033,37.943,150.483,0.7148,0.7519,0.14596,1.1474,1.2777,0.009198,-0.998792553,47202023.57,0.066707652,0.070316498,1.054099435,0.153122402,-0.327021487,-0.736435268,-0.953451712,4.026833814,0.729926492,1.215294425,1.408636711
212,2019/1/8,4018.99,3980.8,4112.12,3964.92,4896.809759,4.895,5.08,4.84,4.96,2653200,39,206.559,53.87,58.72,1383.3,16.999,39.015,148.925,0.714,0.7534,0.14592,1.1441,1.2717,0.009196,-0.998765859,41336683.36,-0.001499253,0.020367303,-13.58497155,0.223899886,-0.291706223,-0.698174843,-0.879325538,2.592270432,0.644160951,1.276636351,1.303306067
213,2019/1/9,4013.93,4019.51,4044.82,3975.01,2837.609777,5.015,5.02,4.63,4.71,2778000,42,206.559,55.35,61.44,1389.5,17.022,39.15,149.553,0.717,0.757,0.14677,1.1543,1.2789,0.009245,-0.998826586,41336683.36,-0.001259816,-0.051717833,41.05189306,0.019293203,-0.386171905,-0.76581341,-0.873343338,0.451466006,0.843398809,1.375706459,1.28928059
214,2019/1/10,3635,4013,4034.61,3566,7096.474002,4.455,4.46,4.16,4.32,3799800,37,206.685,55.1,61.68,1385.2,16.934,33.42,126.998,0.7185,0.7553,0.14731,1.15,1.2747,0.009223,-0.998811554,41336683.36,-0.0991617,-0.086432506,0.871631946,-0.045256592,-0.505952659,-0.811958494,-0.88716702,1.144556186,0.898848747,1.46687533,1.259088033
215,2019/1/11,3652,3620.94,3695,3577.01,3037.724014,4.41,4.49,4.25,4.32,1218500,19,206.819,53.92,60.48,1387.6,16.946,32.72,125.368,0.7215,0.7538,0.14787,1.1469,1.2844,0.009216,-0.998817087,37146820.73,0.004665852,0,0,-0.047466537,-0.550313395,-0.812985715,-0.95176512,1.55387192,0.978128642,1.425876767,1.466045779
216,2019/1/14,3682.76,3520.25,3713.16,3520.24,2958.682827,4.145,4.55,4.14,4.47,2581600,16,206.824,53.19,58.99,1389.4,16.98,31.985,128.015,0.7197,0.7528,0.14775,1.1469,1.2864,0.009246,-0.998786236,37146820.73,0.008387508,0.034133006,4.06950491,-0.083650029,-0.546425955,-0.76437469,-1.041848586,0.941290294,0.959874203,1.383109144,1.475708646
